T rho P
18.3926854985112 5.01187233627272e-05 6.95133880348125e-16
18.3926854985112 6.30957344480193e-05 6.95133880348125e-16
18.3926854985112 7.94328234724282e-05 6.95133880348125e-16
18.3926854985112 0.0001 6.95133880348125e-16
18.3926854985112 0.000125892541179417 6.95133880348125e-16
18.3926854985112 0.000158489319246111 6.95133880348125e-16
18.3926854985112 0.000199526231496888 6.95133880348125e-16
18.3926854985112 0.000251188643150958 6.95133880348125e-16
18.3926854985112 0.000316227766016838 6.95133880348125e-16
18.3926854985112 0.000398107170553497 6.95133880348125e-16
18.3926854985112 0.000501187233627273 6.95133880348125e-16
18.3926854985112 0.000630957344480193 6.95133880348125e-16
18.3926854985112 0.000794328234724281 6.95133880348125e-16
18.3926854985112 0.001 6.95133880348125e-16
18.3926854985112 0.00125892541179417 6.95133880348125e-16
18.3926854985112 0.00158489319246111 6.95133880348125e-16
18.3926854985112 0.00199526231496888 6.95133880348125e-16
18.3926854985112 0.00251188643150958 6.95133880348125e-16
18.3926854985112 0.00316227766016838 6.95133880348125e-16
18.3926854985112 0.00398107170553497 6.95133880348125e-16
18.3926854985112 0.00501187233627272 6.95133880348125e-16
18.3926854985112 0.00630957344480193 6.95133880348125e-16
18.3926854985112 0.00794328234724281 6.95133880348125e-16
18.3926854985112 0.01 6.95133880348125e-16
18.3926854985112 0.0125892541179417 6.95133880348125e-16
18.3926854985112 0.0158489319246111 6.95133880348125e-16
18.3926854985112 0.0199526231496888 6.95133880348125e-16
18.3926854985112 0.0251188643150958 6.95133880348125e-16
18.3926854985112 0.0316227766016838 6.95133880348125e-16
18.3926854985112 0.0398107170553497 6.95133880348125e-16
18.3926854985112 0.0501187233627272 6.95133880348125e-16
18.3926854985112 0.0630957344480193 6.95133880348125e-16
18.3926854985112 0.0794328234724281 6.95133880348125e-16
18.3926854985112 0.1 6.95133880348125e-16
18.3926854985112 0.125892541179417 6.95133880348125e-16
18.3926854985112 0.158489319246111 6.95133880348125e-16
18.3926854985112 0.199526231496888 6.95133880348125e-16
18.3926854985112 0.251188643150958 6.95133880348125e-16
18.3926854985112 0.316227766016838 6.95133880348125e-16
18.3926854985112 0.398107170553497 6.95133880348125e-16
18.3926854985112 0.501187233627272 6.95133880348125e-16
18.3926854985112 0.630957344480193 6.95133880348125e-16
18.3926854985112 0.794328234724281 6.95133880348125e-16
18.3926854985112 1 6.95133880348125e-16
18.3926854985112 1.25892541179417 6.95133880348125e-16
18.3926854985112 1.58489319246111 6.95133880348125e-16
18.3926854985112 1.99526231496888 6.95133880348125e-16
18.3926854985112 2.51188643150958 6.95133880348125e-16
18.3926854985112 3.16227766016838 15.5135976466454
18.3926854985112 3.98107170553497 61.0245739178209
18.3926854985112 5.01187233627272 160.695015996536
18.3926854985112 6.30957344480193 361.761936282539
18.3926854985112 7.94328234724282 745.558923209828
18.3926854985112 10 1449.11217842363
18.3926854985112 12.5892541179417 2699.22838204433
18.3926854985112 15.8489319246111 4865.89802651411
18.3926854985112 19.9526231496888 8545.38067476855
18.3926854985112 25.1188643150958 14688.7227480467
18.3926854985112 31.6227766016838 24799.5542784882
18.3926854985112 39.8107170553497 41237.2181135116
18.3926854985112 50.1187233627272 67679.3253763129
18.3926854985112 63.0957344480193 109825.199072756
18.3926854985112 79.4328234724281 176462.3652404
18.3926854985112 100 281078.402560989
23.1550191652138 2.51188643150958e-13 8.87983329879362e-16
23.1550191652138 3.16227766016838e-13 8.87983329879362e-16
23.1550191652138 3.98107170553497e-13 8.87983329879362e-16
23.1550191652138 5.01187233627271e-13 8.87983329879362e-16
23.1550191652138 6.30957344480194e-13 8.87983329879362e-16
23.1550191652138 7.94328234724282e-13 8.87983329879362e-16
23.1550191652138 1e-12 8.87983329879362e-16
